id,parent,ar,zh,en,fr,ru,es
22,1,التقسيم الإداري 1.2,行政区 1.2,Administrative Division 1.2,Division administrative 1.2,Административное деление 1.2,División administrativa 1.2
23,1,التقسيم الإداري 1.3,行政区 1.3,Administrative Division 1.3,Division administrative 1.3,Административное деление 1.3,División administrativa 1.3
24,1,التقسيم الإداري 1.4,行政区 1.4,Administrative Division 1.4,Division administrative 1.4,Административное деление 1.4,División administrativa 1.4
25,1,التقسيم الإداري 1.5,行政区 1.5,Administrative Division 1.5,Division administrative 1.5,Административное деление 1.5,División administrativa 1.5
26,1,التقسيم الإداري 1.6,行政区 1.6,Administrative Division 1.6,Division administrative 1.6,Административное деление 1.6,División administrativa 1.6
27,1,التقسيم الإداري 1.7,行政区 1.7,Administrative Division 1.7,Division administrative 1.7,Административное деление 1.7,División administrativa 1.7
28,1,التقسيم الإداري 1.8,行政区 1.8,Administrative Division 1.8,Division administrative 1.8,Административное деление 1.8,División administrativa 1.8
29,1,التقسيم الإداري 1.9,行政区 1.9,Administrative Division 1.9,Division administrative 1.9,Административное деление 1.9,División administrativa 1.9
30,1,التقسيم الإداري 1.10,行政区 1.10,Administrative Division 1.10,Division administrative 1.10,Административное деление 1.10,División administrativa 1.10
31,1,التقسيم الإداري 1.11,行政区 1.11,Administrative Division 1.11,Division administrative 1.11,Административное деление 1.11,División administrativa 1.11
32,1,التقسيم الإداري 1.12,行政区 1.12,Administrative Division 1.12,Division administrative 1.12,Административное деление 1.12,División administrativa 1.12
33,1,التقسيم الإداري 1.13,行政区 1.13,Administrative Division 1.13,Division administrative 1.13,Административное деление 1.13,División administrativa 1.13
34,1,التقسيم الإداري 1.14,行政区 1.14,Administrative Division 1.14,Division administrative 1.14,Административное деление 1.14,División administrativa 1.14
35,1,التقسيم الإداري 1.15,行政区 1.15,Administrative Division 1.15,Division administrative 1.15,Административное деление 1.15,División administrativa 1.15
36,1,التقسيم الإداري 1.16,行政区 1.16,Administrative Division 1.16,Division administrative 1.16,Административное деление 1.16,División administrativa 1.16
37,1,التقسيم الإداري 1.17,行政区 1.17,Administrative Division 1.17,Division administrative 1.17,Административное деление 1.17,División administrativa 1.17
38,1,التقسيم الإداري 1.18,行政区 1.18,Administrative Division 1.18,Division administrative 1.18,Административное деление 1.18,División administrativa 1.18
39,1,التقسيم الإداري 1.19,行政区 1.19,Administrative Division 1.19,Division administrative 1.19,Административное деление 1.19,División administrativa 1.19
40,1,التقسيم الإداري 1.20,行政区 1.20,Administrative Division 1.20,Division administrative 1.20,Административное деление 1.20,División administrativa 1.20
41,1,التقسيم الإداري 1.21,行政区 1.21,Administrative Division 1.21,Division administrative 1.21,Административное деление 1.21,División administrativa 1.21
42,1,التقسيم الإداري 1.22,行政区 1.22,Administrative Division 1.22,Division administrative 1.22,Административное деление 1.22,División administrativa 1.22
43,21,التقسيم الإداري 1.1.1,行政区 1.1.1,Administrative Division 1.1.1,Division administrative 1.1.1,Административное деление 1.1.1,División administrativa 1.1.1
44,21,التقسيم الإداري 1.1.2,行政区 1.1.2,Administrative Division 1.1.2,Division administrative 1.1.2,Административное деление 1.1.2,División administrativa 1.1.2
45,21,التقسيم الإداري 1.1.3,行政区 1.1.3,Administrative Division 1.1.3,Division administrative 1.1.3,Административное деление 1.1.3,División administrativa 1.1.3
46,21,التقسيم الإداري 1.1.4,行政区 1.1.4,Administrative Division 1.1.4,Division administrative 1.1.4,Административное деление 1.1.4,División administrativa 1.1.4
47,21,التقسيم الإداري 1.1.5,行政区 1.1.5,Administrative Division 1.1.5,Division administrative 1.1.5,Административное деление 1.1.5,División administrativa 1.1.5
48,21,التقسيم الإداري 1.1.6,行政区 1.1.6,Administrative Division 1.1.6,Division administrative 1.1.6,Административное деление 1.1.6,División administrativa 1.1.6
49,21,التقسيم الإداري 1.1.7,行政区 1.1.7,Administrative Division 1.1.7,Division administrative 1.1.7,Административное деление 1.1.7,División administrativa 1.1.7
50,21,التقسيم الإداري 1.1.8,行政区 1.1.8,Administrative Division 1.1.8,Division administrative 1.1.8,Административное деление 1.1.8,División administrativa 1.1.8
51,21,التقسيم الإداري 1.1.9,行政区 1.1.9,Administrative Division 1.1.9,Division administrative 1.1.9,Административное деление 1.1.9,División administrativa 1.1.9
52,21,التقسيم الإداري 1.1.10,行政区 1.1.10,Administrative Division 1.1.10,Division administrative 1.1.10,Административное деление 1.1.10,División administrativa 1.1.10
53,21,التقسيم الإداري 1.1.11,行政区 1.1.11,Administrative Division 1.1.11,Division administrative 1.1.11,Административное деление 1.1.11,División administrativa 1.1.11
54,21,التقسيم الإداري 1.1.12,行政区 1.1.12,Administrative Division 1.1.12,Division administrative 1.1.12,Административное деление 1.1.12,División administrativa 1.1.12
55,21,التقسيم الإداري 1.1.13,行政区 1.1.13,Administrative Division 1.1.13,Division administrative 1.1.13,Административное деление 1.1.13,División administrativa 1.1.13
56,21,التقسيم الإداري 1.1.14,行政区 1.1.14,Administrative Division 1.1.14,Division administrative 1.1.14,Административное деление 1.1.14,División administrativa 1.1.14
57,21,التقسيم الإداري 1.1.15,行政区 1.1.15,Administrative Division 1.1.15,Division administrative 1.1.15,Административное деление 1.1.15,División administrativa 1.1.15
58,21,التقسيم الإداري 1.1.16,行政区 1.1.16,Administrative Division 1.1.16,Division administrative 1.1.16,Административное деление 1.1.16,División administrativa 1.1.16
59,21,التقسيم الإداري 1.1.17,行政区 1.1.17,Administrative Division 1.1.17,Division administrative 1.1.17,Административное деление 1.1.17,División administrativa 1.1.17
60,21,التقسيم الإداري 1.1.18,行政区 1.1.18,Administrative Division 1.1.18,Division administrative 1.1.18,Административное деление 1.1.18,División administrativa 1.1.18
61,21,التقسيم الإداري 1.1.19,行政区 1.1.19,Administrative Division 1.1.19,Division administrative 1.1.19,Административное деление 1.1.19,División administrativa 1.1.19
62,21,التقسيم الإداري 1.1.20,行政区 1.1.20,Administrative Division 1.1.20,Division administrative 1.1.20,Административное деление 1.1.20,División administrativa 1.1.20
63,21,التقسيم الإداري 1.1.21,行政区 1.1.21,Administrative Division 1.1.21,Division administrative 1.1.21,Административное деление 1.1.21,División administrativa 1.1.21
64,21,التقسيم الإداري 1.1.22,行政区 1.1.22,Administrative Division 1.1.22,Division administrative 1.1.22,Административное деление 1.1.22,División administrativa 1.1.22
65,21,التقسيم الإداري 1.1.23,行政区 1.1.23,Administrative Division 1.1.23,Division administrative 1.1.23,Административное деление 1.1.23,División administrativa 1.1.23
66,43,التقسيم الإداري 1.1.1.1,行政区 1.1.1.1,Administrative Division 1.1.1.1,Division administrative 1.1.1.1,Административное деление 1.1.1.1,División administrativa 1.1.1.1
67,43,التقسيم الإداري 1.1.1.2,行政区 1.1.1.2,Administrative Division 1.1.1.2,Division administrative 1.1.1.2,Административное деление 1.1.1.2,División administrativa 1.1.1.2
68,43,التقسيم الإداري 1.1.1.3,行政区 1.1.1.3,Administrative Division 1.1.1.3,Division administrative 1.1.1.3,Административное деление 1.1.1.3,División administrativa 1.1.1.3
69,43,التقسيم الإداري 1.1.1.4,行政区 1.1.1.4,Administrative Division 1.1.1.4,Division administrative 1.1.1.4,Административное деление 1.1.1.4,División administrativa 1.1.1.4
70,43,التقسيم الإداري 1.1.1.5,行政区 1.1.1.5,Administrative Division 1.1.1.5,Division administrative 1.1.1.5,Административное деление 1.1.1.5,División administrativa 1.1.1.5
71,43,التقسيم الإداري 1.1.1.6,行政区 1.1.1.6,Administrative Division 1.1.1.6,Division administrative 1.1.1.6,Административное деление 1.1.1.6,División administrativa 1.1.1.6
72,43,التقسيم الإداري 1.1.1.7,行政区 1.1.1.7,Administrative Division 1.1.1.7,Division administrative 1.1.1.7,Административное деление 1.1.1.7,División administrativa 1.1.1.7
73,43,التقسيم الإداري 1.1.1.8,行政区 1.1.1.8,Administrative Division 1.1.1.8,Division administrative 1.1.1.8,Административное деление 1.1.1.8,División administrativa 1.1.1.8
74,43,التقسيم الإداري 1.1.1.9,行政区 1.1.1.9,Administrative Division 1.1.1.9,Division administrative 1.1.1.9,Административное деление 1.1.1.9,División administrativa 1.1.1.9
75,43,التقسيم الإداري 1.1.1.10,行政区 1.1.1.10,Administrative Division 1.1.1.10,Division administrative 1.1.1.10,Административное деление 1.1.1.10,División administrativa 1.1.1.10
76,43,التقسيم الإداري 1.1.1.11,行政区 1.1.1.11,Administrative Division 1.1.1.11,Division administrative 1.1.1.11,Административное деление 1.1.1.11,División administrativa 1.1.1.11
77,43,التقسيم الإداري 1.1.1.12,行政区 1.1.1.12,Administrative Division 1.1.1.12,Division administrative 1.1.1.12,Административное деление 1.1.1.12,División administrativa 1.1.1.12
78,43,التقسيم الإداري 1.1.1.13,行政区 1.1.1.13,Administrative Division 1.1.1.13,Division administrative 1.1.1.13,Административное деление 1.1.1.13,División administrativa 1.1.1.13
79,43,التقسيم الإداري 1.1.1.14,行政区 1.1.1.14,Administrative Division 1.1.1.14,Division administrative 1.1.1.14,Административное деление 1.1.1.14,División administrativa 1.1.1.14
80,43,التقسيم الإداري 1.1.1.15,行政区 1.1.1.15,Administrative Division 1.1.1.15,Division administrative 1.1.1.15,Административное деление 1.1.1.15,División administrativa 1.1.1.15
81,43,التقسيم الإداري 1.1.1.16,行政区 1.1.1.16,Administrative Division 1.1.1.16,Division administrative 1.1.1.16,Административное деление 1.1.1.16,División administrativa 1.1.1.16
82,43,التقسيم الإداري 1.1.1.17,行政区 1.1.1.17,Administrative Division 1.1.1.17,Division administrative 1.1.1.17,Административное деление 1.1.1.17,División administrativa 1.1.1.17
83,66,التقسيم الإداري 1.1.1.1.1,行政区 1.1.1.1.1,Administrative Division 1.1.1.1.1,Division administrative 1.1.1.1.1,Административное деление 1.1.1.1.1,División administrativa 1.1.1.1.1
84,66,التقسيم الإداري 1.1.1.1.2,行政区 1.1.1.1.2,Administrative Division 1.1.1.1.2,Division administrative 1.1.1.1.2,Административное деление 1.1.1.1.2,División administrativa 1.1.1.1.2
85,66,التقسيم الإداري 1.1.1.1.3,行政区 1.1.1.1.3,Administrative Division 1.1.1.1.3,Division administrative 1.1.1.1.3,Административное деление 1.1.1.1.3,División administrativa 1.1.1.1.3
86,66,التقسيم الإداري 1.1.1.1.4,行政区 1.1.1.1.4,Administrative Division 1.1.1.1.4,Division administrative 1.1.1.1.4,Административное деление 1.1.1.1.4,División administrativa 1.1.1.1.4
87,66,التقسيم الإداري 1.1.1.1.5,行政区 1.1.1.1.5,Administrative Division 1.1.1.1.5,Division administrative 1.1.1.1.5,Административное деление 1.1.1.1.5,División administrativa 1.1.1.1.5
88,66,التقسيم الإداري 1.1.1.1.6,行政区 1.1.1.1.6,Administrative Division 1.1.1.1.6,Division administrative 1.1.1.1.6,Административное деление 1.1.1.1.6,División administrativa 1.1.1.1.6
89,66,التقسيم الإداري 1.1.1.1.7,行政区 1.1.1.1.7,Administrative Division 1.1.1.1.7,Division administrative 1.1.1.1.7,Административное деление 1.1.1.1.7,División administrativa 1.1.1.1.7
90,66,التقسيم الإداري 1.1.1.1.8,行政区 1.1.1.1.8,Administrative Division 1.1.1.1.8,Division administrative 1.1.1.1.8,Административное деление 1.1.1.1.8,División administrativa 1.1.1.1.8
91,66,التقسيم الإداري 1.1.1.1.9,行政区 1.1.1.1.9,Administrative Division 1.1.1.1.9,Division administrative 1.1.1.1.9,Административное деление 1.1.1.1.9,División administrativa 1.1.1.1.9
92,66,التقسيم الإداري 1.1.1.1.10,行政区 1.1.1.1.10,Administrative Division 1.1.1.1.10,Division administrative 1.1.1.1.10,Административное деление 1.1.1.1.10,División administrativa 1.1.1.1.10
93,66,التقسيم الإداري 1.1.1.1.11,行政区 1.1.1.1.11,Administrative Division 1.1.1.1.11,Division administrative 1.1.1.1.11,Административное деление 1.1.1.1.11,División administrativa 1.1.1.1.11
94,66,التقسيم الإداري 1.1.1.1.12,行政区 1.1.1.1.12,Administrative Division 1.1.1.1.12,Division administrative 1.1.1.1.12,Административное деление 1.1.1.1.12,División administrativa 1.1.1.1.12
95,66,التقسيم الإداري 1.1.1.1.13,行政区 1.1.1.1.13,Administrative Division 1.1.1.1.13,Division administrative 1.1.1.1.13,Административное деление 1.1.1.1.13,División administrativa 1.1.1.1.13
96,66,التقسيم الإداري 1.1.1.1.14,行政区 1.1.1.1.14,Administrative Division 1.1.1.1.14,Division administrative 1.1.1.1.14,Административное деление 1.1.1.1.14,División administrativa 1.1.1.1.14
97,66,التقسيم الإداري 1.1.1.1.15,行政区 1.1.1.1.15,Administrative Division 1.1.1.1.15,Division administrative 1.1.1.1.15,Административное деление 1.1.1.1.15,División administrativa 1.1.1.1.15
98,66,التقسيم الإداري 1.1.1.1.16,行政区 1.1.1.1.16,Administrative Division 1.1.1.1.16,Division administrative 1.1.1.1.16,Административное деление 1.1.1.1.16,División administrativa 1.1.1.1.16
99,66,التقسيم الإداري 1.1.1.1.17,行政区 1.1.1.1.17,Administrative Division 1.1.1.1.17,Division administrative 1.1.1.1.17,Административное деление 1.1.1.1.17,División administrativa 1.1.1.1.17
100,66,التقسيم الإداري 1.1.1.1.18,行政区 1.1.1.1.18,Administrative Division 1.1.1.1.18,Division administrative 1.1.1.1.18,Административное деление 1.1.1.1.18,División administrativa 1.1.1.1.18
101,66,التقسيم الإداري 1.1.1.1.19,行政区 1.1.1.1.19,Administrative Division 1.1.1.1.19,Division administrative 1.1.1.1.19,Административное деление 1.1.1.1.19,División administrativa 1.1.1.1.19
102,66,التقسيم الإداري 1.1.1.1.20,行政区 1.1.1.1.20,Administrative Division 1.1.1.1.20,Division administrative 1.1.1.1.20,Административное деление 1.1.1.1.20,División administrativa 1.1.1.1.20
103,83,التقسيم الإداري 1.1.1.1.1.1,行政区 1.1.1.1.1.1,Administrative Division 1.1.1.1.1.1,Division administrative 1.1.1.1.1.1,Административное деление 1.1.1.1.1.1,División administrativa 1.1.1.1.1.1
104,83,التقسيم الإداري 1.1.1.1.1.2,行政区 1.1.1.1.1.2,Administrative Division 1.1.1.1.1.2,Division administrative 1.1.1.1.1.2,Административное деление 1.1.1.1.1.2,División administrativa 1.1.1.1.1.2
105,83,التقسيم الإداري 1.1.1.1.1.3,行政区 1.1.1.1.1.3,Administrative Division 1.1.1.1.1.3,Division administrative 1.1.1.1.1.3,Административное деление 1.1.1.1.1.3,División administrativa 1.1.1.1.1.3
106,83,التقسيم الإداري 1.1.1.1.1.4,行政区 1.1.1.1.1.4,Administrative Division 1.1.1.1.1.4,Division administrative 1.1.1.1.1.4,Административное деление 1.1.1.1.1.4,División administrativa 1.1.1.1.1.4
107,83,التقسيم الإداري 1.1.1.1.1.5,行政区 1.1.1.1.1.5,Administrative Division 1.1.1.1.1.5,Division administrative 1.1.1.1.1.5,Административное деление 1.1.1.1.1.5,División administrativa 1.1.1.1.1.5
108,83,التقسيم الإداري 1.1.1.1.1.6,行政区 1.1.1.1.1.6,Administrative Division 1.1.1.1.1.6,Division administrative 1.1.1.1.1.6,Административное деление 1.1.1.1.1.6,División administrativa 1.1.1.1.1.6
109,83,التقسيم الإداري 1.1.1.1.1.7,行政区 1.1.1.1.1.7,Administrative Division 1.1.1.1.1.7,Division administrative 1.1.1.1.1.7,Административное деление 1.1.1.1.1.7,División administrativa 1.1.1.1.1.7
110,83,التقسيم الإداري 1.1.1.1.1.8,行政区 1.1.1.1.1.8,Administrative Division 1.1.1.1.1.8,Division administrative 1.1.1.1.1.8,Административное деление 1.1.1.1.1.8,División administrativa 1.1.1.1.1.8
111,83,التقسيم الإداري 1.1.1.1.1.9,行政区 1.1.1.1.1.9,Administrative Division 1.1.1.1.1.9,Division administrative 1.1.1.1.1.9,Административное деление 1.1.1.1.1.9,División administrativa 1.1.1.1.1.9
112,83,التقسيم الإداري 1.1.1.1.1.10,行政区 1.1.1.1.1.10,Administrative Division 1.1.1.1.1.10,Division administrative 1.1.1.1.1.10,Административное деление 1.1.1.1.1.10,División administrativa 1.1.1.1.1.10
113,83,التقسيم الإداري 1.1.1.1.1.11,行政区 1.1.1.1.1.11,Administrative Division 1.1.1.1.1.11,Division administrative 1.1.1.1.1.11,Административное деление 1.1.1.1.1.11,División administrativa 1.1.1.1.1.11
114,83,التقسيم الإداري 1.1.1.1.1.12,行政区 1.1.1.1.1.12,Administrative Division 1.1.1.1.1.12,Division administrative 1.1.1.1.1.12,Административное деление 1.1.1.1.1.12,División administrativa 1.1.1.1.1.12
115,83,التقسيم الإداري 1.1.1.1.1.13,行政区 1.1.1.1.1.13,Administrative Division 1.1.1.1.1.13,Division administrative 1.1.1.1.1.13,Административное деление 1.1.1.1.1.13,División administrativa 1.1.1.1.1.13
116,83,التقسيم الإداري 1.1.1.1.1.14,行政区 1.1.1.1.1.14,Administrative Division 1.1.1.1.1.14,Division administrative 1.1.1.1.1.14,Административное деление 1.1.1.1.1.14,División administrativa 1.1.1.1.1.14
117,83,التقسيم الإداري 1.1.1.1.1.15,行政区 1.1.1.1.1.15,Administrative Division 1.1.1.1.1.15,Division administrative 1.1.1.1.1.15,Административное деление 1.1.1.1.1.15,División administrativa 1.1.1.1.1.15
118,83,التقسيم الإداري 1.1.1.1.1.16,行政区 1.1.1.1.1.16,Administrative Division 1.1.1.1.1.16,Division administrative 1.1.1.1.1.16,Административное деление 1.1.1.1.1.16,División administrativa 1.1.1.1.1.16
119,83,التقسيم الإداري 1.1.1.1.1.17,行政区 1.1.1.1.1.17,Administrative Division 1.1.1.1.1.17,Division administrative 1.1.1.1.1.17,Административное деление 1.1.1.1.1.17,División administrativa 1.1.1.1.1.17
120,83,التقسيم الإداري 1.1.1.1.1.18,行政区 1.1.1.1.1.18,Administrative Division 1.1.1.1.1.18,Division administrative 1.1.1.1.1.18,Административное деление 1.1.1.1.1.18,División administrativa 1.1.1.1.1.18
121,83,التقسيم الإداري 1.1.1.1.1.19,行政区 1.1.1.1.1.19,Administrative Division 1.1.1.1.1.19,Division administrative 1.1.1.1.1.19,Административное деление 1.1.1.1.1.19,División administrativa 1.1.1.1.1.19
122,83,التقسيم الإداري 1.1.1.1.1.20,行政区 1.1.1.1.1.20,Administrative Division 1.1.1.1.1.20,Division administrative 1.1.1.1.1.20,Административное деление 1.1.1.1.1.20,División administrativa 1.1.1.1.1.20
123,83,التقسيم الإداري 1.1.1.1.1.21,行政区 1.1.1.1.1.21,Administrative Division 1.1.1.1.1.21,Division administrative 1.1.1.1.1.21,Административное деление 1.1.1.1.1.21,División administrativa 1.1.1.1.1.21
124,83,التقسيم الإداري 1.1.1.1.1.22,行政区 1.1.1.1.1.22,Administrative Division 1.1.1.1.1.22,Division administrative 1.1.1.1.1.22,Административное деление 1.1.1.1.1.22,División administrativa 1.1.1.1.1.22
