apiImportId,id,sectorIds,isBuiltIn,name,category,nationalId,notes
21003,a03bd5c1-c59e-43fb-ad26-e62221a45505,12,true,Assembly lines,Machinery and equipments,,Industry
10028,a2c122d0-f141-4d54-aa4e-26520011845a,1101001,true,Castor bean,,431,Temporary - annual crops - Agriculture
11025,a420bf2a-a06f-40de-a852-1b95cffadcb7,1101002,true,Walnuts,,366,Permanent- perennial crops - Agriculture
10020,a4423845-5826-470f-87b8-e9434b0c24e5,1101001,true,Sweet potatoes,,52,Temporary - annual crops - Agriculture
10043,a7eb06b3-e5f1-4f44-afeb-05d0d6cc12df,1101001,true,Cauliflowers & broccoli,,214,Temporary - annual crops - Agriculture
10026,a9fc7194-4263-4fb6-a22a-90eb0ba13762,1101001,true,Sugar beet seeds,,83,Temporary - annual crops - Agriculture
12002,aa50d51b-82c4-4dd8-94c4-0a1714589a29,1104,true,pumps and aerators,,,Aquaculture - Agriculture
30015,abe00b14-3234-4a89-8016-20ad6d39a31c,13,true,Vehicles,,,Tourism
11003,ac4f6545-2cb8-404a-b855-a328228b1f5a,1101002,true,Cherries & sour cherries,,353,Permanent- perennial crops - Agriculture
30011,afb6d0e2-cd0b-4990-8590-720eab8b115f,13,true,Gyms,,,Tourism
10038,b136af9c-417e-4741-9a00-58ec57af083e,1101001,true,"Jute, kenaf, and other similar",,9212,Temporary - annual crops - Agriculture
10057,b1b509c1-a654-47d1-a4eb-c134734fc035,1101001,true,Garlic,,233,Temporary - annual crops - Agriculture
10062,b242e5cd-4fbb-49a5-954f-d7be683a9d23,1101001,true,Alfalfa for forage and silage,,1912,Temporary - annual crops - Agriculture
30002,b2666498-cf34-4411-98ac-fe1f729f7c9b,13,true,Properties,,,Tourism
21029,b3fbc6cd-9612-4538-9ac5-4381e7d4cae9,12,true,Lighting systems,Machinery and equipments,,Industry
11020,b4746a82-5565-453e-b719-075f308bdc92,1101002,true,Almonds,,361,Permanent- perennial crops - Agriculture
21025,b7cdbf7e-de4f-42b9-aee6-4fe078d72f90,12,true,Milling machines,Machinery and equipments,,Industry
12003,b801d20c-fc58-4d5f-b9fd-e64b79e3a083,1104,true,"ponds, cages and pens",,,Aquaculture - Agriculture
10006,bb4136ec-6746-4fab-bf13-33cd53dad4c1,1101001,true,Rye,,16,Temporary - annual crops - Agriculture
21012,bca1eead-755d-45d5-b75f-5db45f8b792f,12,true,Haul tracks,Machinery and equipments,,Industry
21036,bd6d286d-5dce-484b-9700-af2af2b49e42,12,true,Handling machineries,Machinery and equipments,,Industry
31005,be3e645a-538f-4c11-9002-0bd4db996c9e,13,true,In-room appliances,Furniture and equipment,,Tourism
10037,be709642-776c-4170-97d3-b780bf73ba5d,1101001,true,Cotton,,9211,Temporary - annual crops - Agriculture
11041,be846dc3-3cc8-4b54-93e0-96f0f9698428,1101002,true,Cocoa,,614,Permanent- perennial crops - Agriculture
11017,be9b7b2d-d0fc-45e0-8ece-198a853017dd,1101002,true,Oranges,,323,Permanent- perennial crops - Agriculture
11009,bf731b86-f3da-4c98-901d-3d700d71b452,1101002,true,Gooseberries,,342,Permanent- perennial crops - Agriculture
10059,c24a7f6e-a97c-47f1-8520-0d0a1fd539d3,1101001,true,Leeks & other alliaceous vegetables,,235,Temporary - annual crops - Agriculture
10046,c2e55174-e66d-42a6-a57c-130f9a910453,1101001,true,Chicory,,217,Temporary - annual crops - Agriculture
10039,c40474c8-1487-4364-9261-018bbf54405a,1101001,true,Other temporary fire crops,,9219,Temporary - annual crops - Agriculture
12004,c4f8d57b-4140-4153-837b-5b2e35155f83,1104,true,storage facilities,,,Aquaculture - Agriculture
11022,c5637e46-cade-430c-91e0-364348126f85,1101002,true,Chestnuts,,363,Permanent- perennial crops - Agriculture
10064,c5e6dddf-298d-48cc-a640-d540317bffdd,1101001,true,"Forage products, n.e.c.",,1919,Temporary - annual crops - Agriculture
10049,c7578fd9-5639-4322-951e-23f73f6bc004,1101001,true,Eggplants ( aubergines),,222,Temporary - annual crops - Agriculture
10036,c94da795-3f88-4ddf-b092-b7ac0b83d469,1101001,true,"Other temporary oilseed crops, n.e.c",,439,Temporary - annual crops - Agriculture
11028,cabaf50d-ba89-40f9-8e9e-2e9c161b6244,1101002,true,Olives,,442,Permanent- perennial crops - Agriculture
21020,cb452886-7bc7-46c3-81f4-381eb417bc7a,12,true,Backhoes,Machinery and equipments,,Industry
10005,cd7424d9-5317-4c03-99b1-dea9bf8d0037,1101001,true,Barley,,15,Temporary - annual crops - Agriculture
12006,cdf24023-db56-4007-8682-1d37909ed607,1104,true,marketing facilities,,,Aquaculture - Agriculture
11010,cfbfd2fc-515a-4236-8eb8-0010fb2e9584,1101002,true,Kiwi fruit,,343,Permanent- perennial crops - Agriculture
30001,d02cca45-f40d-4a51-8198-3c9189c76f9e,13,true,Buildings,,,Tourism
30021,d17c37f6-ac1a-46eb-b5ae-a6576113204e,13,true,Garage,,,Tourism
13005,d2bc5758-8488-4f9f-8e08-d0902e357c4a,1105,true,Processing facilities,,,Fisheries - Agriculture
30007,d423fd56-50ca-4ae7-8765-ee96f57d3457,13,true,Swimming pool,,,Tourism
20001,d5d6a76f-2f50-4e00-b37c-f001742d74c3,12,true,Manufacturing plant,,,Industry
13003,d6be62c8-39ab-442a-af2d-293cebca2aea,1105,true,Fishing engines,,,Fisheries - Agriculture
10027,d8cd2674-d536-445d-9429-62f1d06527ac,1101001,true,"Other sugar crops ( sugar maple, sweet sorghum)",,89,Temporary - annual crops - Agriculture
21024,dd3f862c-baa8-4ceb-b668-234e553dcb5e,12,true,Asphalt pavers,Machinery and equipments,,Industry
11038,dd6cd1af-2626-4529-83c9-5d81834ea2c2,1101002,true,Coffee,,611,Permanent- perennial crops - Agriculture
10033,dd96cc41-8603-4f22-9cf4-3020618b2c56,1101001,true,Safflower,,436,Temporary - annual crops - Agriculture
30004,ddf3d2f5-5772-4430-9256-0c33fd6b3740,13,true,Restaurants,,,Tourism
11037,ddfe13e9-9d67-49fa-b706-0f8a49c2d45e,1101002,true,"Other permanent spice crops, n.e.c-",,6229,Permanent- perennial crops - Agriculture
11011,de55925a-8022-4793-aece-4fbd8c962dc1,1101002,true,Raspberries,,344,Permanent- perennial crops - Agriculture
20002,de5a74a9-f5a8-4979-bfcf-2ab813a90351,12,true,Industrial units,,,Industry
13002,e0275c4f-b096-4aeb-9a86-def8d62ba680,1105,true,Fishing gear,,,Fisheries - Agriculture
21031,e0cb6601-e9d5-4c7b-bb6d-6493d80020d8,12,true,Scaffolding,Machinery and equipments,,Industry
30009,e0cdafc6-65ca-4630-8d26-c4fc94d73ecd,13,true,golf park,,,Tourism
21010,e3c55002-bcb6-4c5a-865d-172e5e03738e,12,true,Loaders,Machinery and equipments,,Industry
21015,e53e6f2c-f051-4597-a167-29662d4923dc,12,true,Separation equipment,Machinery and equipments,,Industry
20003,e5b9593a-3bfd-4c22-900c-b8800366a612,12,true,Storage facilities,,,Industry
10042,e5d27d61-4d4d-49af-9ed9-09552f67c358,1101001,true,Cabbages,,213,Temporary - annual crops - Agriculture
11046,e6053cdc-e993-434c-9c6b-18fecbe836f3,1101002,true,Cloves,,6224,Permanent- perennial crops - Agriculture
13001,e7c90383-4843-47b3-a4fd-997337c1b46e,1105,true,Fishing vessels/boats,,,Fisheries - Agriculture
11047,e95d30a9-fe5f-4285-8d6c-f21ac943dfc0,1101002,true,Ginger,,6225,Permanent- perennial crops - Agriculture
11036,eb99f131-b2dd-4c99-a0b3-554d98034eb2,1101002,true,Vanilla,,6226,Permanent- perennial crops - Agriculture
10061,ec708bfb-3bcc-4ca9-9b98-1de17328614b,1101001,true,Maize for forage and silage,,1911,Temporary - annual crops - Agriculture
20004,ed626b59-2243-4d23-b2b6-26ade7335977,12,true,Distribution centers,,,Industry
10014,edb5c41f-c496-4a85-99ad-87c147537de2,1101001,true,Lentils,,75,Temporary - annual crops - Agriculture
21014,ee3659ac-cd8f-4c52-ae1b-be0161770cd2,12,true,Grinding machinery,Machinery and equipments,,Industry
21034,eee6a0bc-aad2-42c9-a565-3e2d278cb1bc,12,true,Batching plants,Machinery and equipments,,Industry
11030,f293e228-5f25-49b7-afa0-9834c4638b07,1101002,true,"Other oleaginous fruits, n.e.c.",,449,Permanent- perennial crops - Agriculture
21028,f4150a33-52d2-4917-8f1c-c0188d80bf4e,12,true,Compactors,Machinery and equipments,,Industry
20006,f5dc46b2-6e89-471c-b9a2-dded3c0b911c,12,true,Tunnels,,,Industry
11001,f78d4006-e941-4f89-81aa-55a649be1ab8,1101002,true,Apples 2,,351,Permanent- perennial crops - Agriculture
10003,f82779c8-2a56-4bd1-bf9c-8328a6cb8350,1101001,true,Rice,,13,Temporary - annual crops - Agriculture
21023,f8ee0bc1-b85c-4ad2-b56b-7fdc56f81bd3,12,true,Rollers,Machinery and equipments,,Industry
30013,f9365996-2633-4fb0-b727-ef715560627b,13,true,Landscaping,,,Tourism
31001,f9c769ad-3cb5-45cf-a881-0158716fdae6,13,true,Room furnishing,Furniture and equipment,,Tourism
10063,fc0d6fb6-eb73-4c75-aa38-4ac6772eb774,1101001,true,"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets",,1913,Temporary - annual crops - Agriculture
30012,fd418033-4e88-4e80-b0b7-2517064eba5a,13,true,Parking facilities,,,Tourism
10045,ff1e4f83-bd24-4bf5-bbf3-4e50eaee75a2,1101001,true,Spinach,,216,Temporary - annual crops - Agriculture
